"","MERDSSG100","MERDSSG103","MERDSSG109","MERDSSG10","MERDSSG112","MERDSSG115","MERDSSG118","MERDSSG124","MERDSSG127","MERDSSG130","MERDSSG133","MERDSSG139","MERDSSG142","MERDSSG145","MERDSSG148","MERDSSG14","MERDSSG154","MERDSSG157","MERDSSG160","MERDSSG163","MERDSSG169","MERDSSG172","MERDSSG175","MERDSSG178","MERDSSG20","MERDSSG23","MERDSSG25","MERDSSG30","MERDSSG37","MERDSSG39","MERDSSG44","MERDSSG49","MERDSSG4","MERDSSG52","MERDSSG55","MERDSSG58","MERDSSG64","MERDSSG67","MERDSSG6","MERDSSG72","MERDSSG73","MERDSSG79","MERDSSG84","MERDSSG85","MERDSSG89","MERDSSG94","MERDSSG97"
"MERDSSG100",0,0.133700317272958,0.123795531525961,0.175273290875535,0.130898335350655,0.158546484321175,0.137565025826332,0.352372376796505,0.356109984384827,0.36443925007256,0.355659323320776,0.182630173983382,0.187570338657225,0.177302258503251,0.172122889495542,0.121897871427506,0.17333600647039,0.197833791338569,0.182430163224728,0.176478483644577,0.319854102018779,0.323333415445918,0.331905406286894,0.370064308345379,0.11957585835427,0.188969102499072,0.225984170025016,0.10332854409466,0.305822018162672,0.338169788106849,0.357663506070365,0.135451836549295,0.142199044724332,0.172086634114874,0.140160108222106,0.174851175166599,0.15830347611285,0.199382877888552,0.134107580584495,0.236716699638702,0.196230285687941,0.350145420531986,0.341874682436108,0.294554586127638,0.390329425414509,0.190767047931319,0.185603628655153
"MERDSSG103",0.133700317272958,0,0.118406913009194,0.172763728039655,0.12699237146348,0.147728330497158,0.117079117946419,0.339393237841825,0.349710105363666,0.348336123698739,0.347085205455588,0.16682257722558,0.180659306472242,0.169452720668407,0.118713492682832,0.0971401436389495,0.169313229008657,0.187682739373609,0.149284937165096,0.135331664630605,0.32823214513533,0.323307716541084,0.340382894495752,0.354314845880856,0.137234575696944,0.18940314808684,0.209622617510473,0.0940975226308721,0.299747300785528,0.329571908595079,0.350473279754069,0.140891538514799,0.138243070256394,0.150696049038795,0.147722920116296,0.133285608379362,0.140770995301741,0.18440803337555,0.137139726023504,0.216234807285189,0.158760844284875,0.335521466135949,0.32371262819004,0.2908793541695,0.371452985056138,0.17984957296471,0.18468032630746
"MERDSSG109",0.123795531525961,0.118406913009194,0,0.191953276852283,0.11420329298181,0.168260558739717,0.1337634013414,0.292336035453149,0.296089951882794,0.299594436382392,0.297071186199557,0.176181680727059,0.174872081375212,0.124629428642829,0.136894518999171,0.126980087192668,0.146340134171418,0.137515263639222,0.144036175589413,0.141290748255478,0.275158688839997,0.267759386281423,0.295834942633303,0.308776581175584,0.108648665829996,0.171131445470342,0.205933468780582,0.0937589294634423,0.263223277280637,0.284165242048614,0.302546731843361,0.139266856780206,0.156145520806754,0.136646081036798,0.141794608067506,0.151930226835253,0.121824665345744,0.143098264847816,0.126233892013424,0.183325577413937,0.132486906573849,0.295583603046367,0.275880565723229,0.240388431480444,0.328427522469637,0.159508798830156,0.142054992239432
"MERDSSG10",0.175273290875535,0.172763728039655,0.191953276852283,0,0.208951906344688,0.0702344892556778,0.113155716045716,0.410237054404105,0.428304967951416,0.421711125952708,0.421290511320258,0.111173737939155,0.12242919366439,0.252738336978947,0.183995184111155,0.159505715460517,0.185716446439518,0.267636802087944,0.209938040511184,0.183495280026828,0.38183274268071,0.389154508134646,0.385020887396077,0.403660562885596,0.195742615698562,0.277359254492036,0.325782806384788,0.175696331185088,0.348028886175428,0.392390356201029,0.407259401279256,0.147130332432337,0.0886729296366278,0.172463300463058,0.144357000933818,0.17406050234139,0.169937669542485,0.269071588327281,0.181403926549095,0.314382118274858,0.242507598335527,0.385677958073122,0.390274954004055,0.352398773810221,0.443492288358188,0.277451823423137,0.281005335622144
"MERDSSG112",0.130898335350655,0.12699237146348,0.11420329298181,0.208951906344688,0,0.186891998184341,0.14408572092176,0.330312004163139,0.334050876748567,0.343823949763144,0.350137632286501,0.182136838412256,0.182960580739537,0.135789117741583,0.135376710312241,0.138281930109488,0.165813174299611,0.152991887023171,0.143801126286047,0.146261575707463,0.323232985396164,0.320218993059312,0.353449416254058,0.345897033817334,0.0816577937738632,0.130656658078176,0.160017083278933,0.111402789778008,0.311821993874662,0.319690665957215,0.334592343678885,0.162969095007404,0.165202575743224,0.159217840151135,0.148194913119674,0.161464167055044,0.141732249907402,0.156825045474415,0.125689898155217,0.201541659181403,0.154724548744983,0.326587219190989,0.315017418666702,0.295378808510685,0.353117314311271,0.119161042774775,0.128469628554134
"MERDSSG115",0.158546484321175,0.147728330497158,0.168260558739717,0.0702344892556778,0.186891998184341,0,0.0954990578851869,0.390610448476733,0.407674519761472,0.403595276774274,0.40197183399647,0.109395252767349,0.117144452452424,0.2354004570944,0.162235637639353,0.133839865267601,0.183118966779618,0.246774423833741,0.189355297117514,0.163991997150802,0.367063072617304,0.370802993849943,0.37198304537789,0.390461643222009,0.181561295380192,0.264840364394199,0.302842395135398,0.145755172957933,0.331328241525198,0.375986206849753,0.389639116735106,0.133876450430129,0.0841026183598893,0.156109044511626,0.127416647064739,0.151086633822253,0.161192940286101,0.247907946005707,0.174905005824033,0.293202226484542,0.219626430110422,0.372331089251019,0.374311141530684,0.332248663013091,0.422042212307072,0.254969775773963,0.256478381561173
"MERDSSG118",0.137565025826332,0.117079117946419,0.1337634013414,0.113155716045716,0.14408572092176,0.0954990578851869,0,0.35679568482584,0.365217713004147,0.367679568899442,0.370646991288227,0.105921613305648,0.118023849796731,0.181760154711929,0.116351310736704,0.116412911039023,0.152146130170518,0.196264793161358,0.145718644575732,0.121897856317499,0.342819960297215,0.340191879319092,0.350564049598819,0.361575304528406,0.14606116130336,0.218445793976303,0.25445653023782,0.107770057661461,0.309949537103488,0.340720078400821,0.357605406047344,0.112870086860282,0.0973424066163397,0.128530135781582,0.0973944246627281,0.116496161280382,0.12327829983946,0.2002111695665,0.130626888622058,0.244610484360502,0.183402103314732,0.343125307319663,0.339937079519549,0.303867525689806,0.386406031797596,0.204378783641451,0.213999393927175
"MERDSSG124",0.352372376796505,0.339393237841825,0.292336035453149,0.410237054404105,0.330312004163139,0.390610448476733,0.35679568482584,0,0.11830983627933,0.130873867041148,0.11864371170281,0.391241942142339,0.396405739925969,0.283356941866557,0.34603793487352,0.348056638667857,0.335618183735574,0.259879801920999,0.332066499302311,0.328721960989509,0.167222855958333,0.14664023525397,0.247772695427325,0.190667905201682,0.333622215627453,0.3121551742137,0.302276413619969,0.313792825992567,0.207135513774786,0.165455887715706,0.144741135479422,0.357426057399391,0.384683699434075,0.311313447594893,0.358799022973025,0.347423439339288,0.334861674232839,0.254908842444465,0.331601285869838,0.229424755556828,0.263364892062645,0.161060629148989,0.182673555800075,0.21922801830357,0.233860945976666,0.297473123471958,0.279446820494729
"MERDSSG127",0.356109984384827,0.349710105363666,0.296089951882794,0.428304967951416,0.334050876748567,0.407674519761472,0.365217713004147,0.11830983627933,0,0.100663815516264,0.154153204392324,0.405024366105766,0.40718983379203,0.280191604535134,0.346795581772118,0.352166864840698,0.340333600795881,0.248839010731633,0.337514218881381,0.328841399067686,0.179016309535419,0.126802709258049,0.271054891737975,0.217178045726349,0.331312901094949,0.304478857723909,0.293587831145387,0.313918654097493,0.230799324760802,0.1713255919005,0.14283428902605,0.369249878575211,0.395080896405357,0.328380250939195,0.366313929920846,0.358007378343686,0.339913628101525,0.250622160976432,0.332949263934698,0.216907113339436,0.265231023858451,0.209916740877544,0.168605075245437,0.225340817429765,0.20183392287986,0.296949163604595,0.277333460540829
"MERDSSG130",0.36443925007256,0.348336123698739,0.299594436382392,0.421711125952708,0.343823949763144,0.403595276774274,0.367679568899442,0.130873867041148,0.100663815516264,0,0.162055643905354,0.400520064991197,0.408139050240839,0.291301812095176,0.358057346999991,0.359687221018293,0.342087340595564,0.263432560431285,0.346023066540054,0.337067070966279,0.19819658239293,0.156178462147512,0.276048455402793,0.238726346375473,0.344486709772203,0.320765466710097,0.30813731302698,0.322884748824942,0.236504835554581,0.186174614284557,0.143022510365779,0.365733667123239,0.396010432240437,0.327069285297918,0.372919061435359,0.356817065027852,0.344324550414522,0.257972731110715,0.340891472430461,0.222210605350959,0.260596747321354,0.216016465747757,0.160389905692594,0.220337245673167,0.160136306954909,0.30708544209116,0.289040614545804
"MERDSSG133",0.355659323320776,0.347085205455588,0.297071186199557,0.421290511320258,0.350137632286501,0.40197183399647,0.370646991288227,0.11864371170281,0.154153204392324,0.162055643905354,0,0.399770123929574,0.40867102017984,0.298717542980511,0.362045131746941,0.355604486411,0.348112994670638,0.277096977650945,0.350886217929087,0.341329847193999,0.191236971058694,0.149076900459928,0.243342018265067,0.169772598032827,0.350659043492622,0.335593906277147,0.329669363391723,0.320162587287999,0.227619887524192,0.185558009463749,0.178849013140559,0.352441880070636,0.399460333086065,0.321756708400645,0.372002413984467,0.360484396191437,0.34593026405882,0.276144988695419,0.345426579917547,0.253852011270084,0.278668050895905,0.169825070740322,0.201517272331122,0.227814151700424,0.267752538162128,0.321666084305909,0.299237295731142
"MERDSSG139",0.182630173983382,0.16682257722558,0.176181680727059,0.111173737939155,0.182136838412256,0.109395252767349,0.105921613305648,0.391241942142339,0.405024366105766,0.400520064991197,0.399770123929574,0,0.0838667296568294,0.215508999508904,0.138596867516928,0.167677993566818,0.157868864465938,0.227030917018811,0.170430590108241,0.136909933425982,0.363390624308591,0.365316773120925,0.373376940004765,0.379899497614876,0.178584446028886,0.254330169702613,0.292214196365464,0.164637994825771,0.346311046203276,0.376209611374374,0.388772272315001,0.128703486753595,0.117476511523745,0.144394274270235,0.136355716639394,0.128181602545042,0.129127594480375,0.233321519699088,0.169832747894579,0.280958431489991,0.207846598693044,0.363989268828196,0.361674873095953,0.332716224512626,0.413574758153352,0.248385544603116,0.25229864031689
"MERDSSG142",0.187570338657225,0.180659306472242,0.174872081375212,0.12242919366439,0.182960580739537,0.117144452452424,0.118023849796731,0.396405739925969,0.40718983379203,0.408139050240839,0.40867102017984,0.0838667296568294,0,0.220295910136784,0.14483762294353,0.174521766065979,0.148233407760767,0.230131292973878,0.166659366596434,0.144653738761001,0.361814749390814,0.368272028288086,0.378004645867059,0.381981172653959,0.175996466808502,0.256071814781088,0.295166303301291,0.176488827046305,0.34858480993106,0.376321090003227,0.388423263692877,0.135978479606509,0.121435749346316,0.138021520671723,0.138003617970126,0.141279521965409,0.12270024036228,0.241579697237996,0.173113939263352,0.286413162245538,0.214990154432117,0.367803013062944,0.367760127182048,0.334531615092199,0.416256549920371,0.247322870583401,0.252418370830082
"MERDSSG145",0.177302258503251,0.169452720668407,0.124629428642829,0.252738336978947,0.135789117741583,0.2354004570944,0.181760154711929,0.283356941866557,0.280191604535134,0.291301812095176,0.298717542980511,0.215508999508904,0.220295910136784,0,0.154212786983799,0.183091011971263,0.170064691020528,0.108159061503056,0.127170319563045,0.15510907943491,0.268159867208027,0.260962788138063,0.315442631393417,0.308449471474022,0.150874266734234,0.152202434169537,0.150539259034016,0.146565705470132,0.296755474678329,0.283140979993721,0.295817778643261,0.188610681725612,0.216522624061183,0.181890758684229,0.171429666996874,0.187798254127918,0.151190815601552,0.105592548252814,0.157992537256104,0.139939475508574,0.113647427500062,0.290473295450777,0.261356612761898,0.261442948775975,0.301506027064138,0.13353115070836,0.120829181812578
"MERDSSG148",0.172122889495542,0.118713492682832,0.136894518999171,0.183995184111155,0.135376710312241,0.162235637639353,0.116351310736704,0.34603793487352,0.346795581772118,0.358057346999991,0.362045131746941,0.138596867516928,0.14483762294353,0.154212786983799,0,0.135659231417568,0.141882893025956,0.162546001274556,0.105494635623338,0.0904189251034429,0.327810675132963,0.327876886675333,0.345848244057781,0.343378522453072,0.148858848996947,0.192761108355942,0.216829210201573,0.117372969131591,0.315120440820841,0.330084286803386,0.345871196227264,0.136741997959909,0.151344237681401,0.135565068605209,0.135875942925685,0.106509452265899,0.114157242301843,0.174575604576655,0.133015646583965,0.218806961929838,0.154913930589758,0.329067973562021,0.319204262140768,0.295801192156335,0.359801904189862,0.173732963465836,0.195698973068272
"MERDSSG14",0.121897871427506,0.0971401436389495,0.126980087192668,0.159505715460517,0.138281930109488,0.133839865267601,0.116412911039023,0.348056638667857,0.352166864840698,0.359687221018293,0.355604486411,0.167677993566818,0.174521766065979,0.183091011971263,0.135659231417568,0,0.183943281311143,0.202633669684423,0.174505270333465,0.157649203457056,0.335445214135493,0.331018027862472,0.338517616831936,0.367122956086821,0.132381213832066,0.202494648060036,0.228192561474849,0.0964348174900194,0.296834401018328,0.332084094574558,0.350975754164128,0.134891846045256,0.119840458890402,0.153683536724514,0.130911339951797,0.139906866358144,0.148691360027557,0.201928952884641,0.111783156317583,0.235176621349022,0.178594627131281,0.342223623449924,0.333545429980214,0.290809703476016,0.383910875673968,0.18247666121983,0.188768539839794
"MERDSSG154",0.17333600647039,0.169313229008657,0.146340134171418,0.185716446439518,0.165813174299611,0.183118966779618,0.152146130170518,0.335618183735574,0.340333600795881,0.342087340595564,0.348112994670638,0.157868864465938,0.148233407760767,0.170064691020528,0.141882893025956,0.183943281311143,0,0.156949508640534,0.132548455323843,0.127851509295452,0.301112250603127,0.299884425332121,0.318265871307758,0.330546363226515,0.168167808646063,0.210373283197917,0.246006769788805,0.153470291153872,0.316361779847207,0.341805591050398,0.349387486540124,0.146148455652597,0.166363600463296,0.126199087153077,0.161039587100297,0.144831566070984,0.105854325049651,0.172121088003862,0.161130451845232,0.223498526459064,0.164593282675248,0.321591035827923,0.312023787163871,0.2739068088524,0.371250210883705,0.213484098964781,0.200833591233648
"MERDSSG157",0.197833791338569,0.187682739373609,0.137515263639222,0.267636802087944,0.152991887023171,0.246774423833741,0.196264793161358,0.259879801920999,0.248839010731633,0.263432560431285,0.277096977650945,0.227030917018811,0.230131292973878,0.108159061503056,0.162546001274556,0.202633669684423,0.156949508640534,0,0.14018658339078,0.144463697906927,0.239163096559722,0.234940524607987,0.294908718571012,0.275773953915151,0.17091102559442,0.170775821022863,0.183925786945975,0.152342263228381,0.285100774784796,0.277961319303068,0.283875146138002,0.197013039692111,0.230539852782544,0.174014253198202,0.191975223569326,0.182519050581596,0.165027249973442,0.0887967895781968,0.171408576613079,0.134546793105298,0.107568124396585,0.266573368094205,0.241923728727664,0.230963669264661,0.292380764207291,0.159013826476859,0.141903162238406
"MERDSSG160",0.182430163224728,0.149284937165096,0.144036175589413,0.209938040511184,0.143801126286047,0.189355297117514,0.145718644575732,0.332066499302311,0.337514218881381,0.346023066540054,0.350886217929087,0.170430590108241,0.166659366596434,0.127170319563045,0.105494635623338,0.174505270333465,0.132548455323843,0.14018658339078,0,0.0992045936796225,0.308005636187619,0.31376169876586,0.336196168239882,0.330950104203633,0.157367212853741,0.191192239550467,0.191746394960692,0.134710742659112,0.311825126403879,0.326545105706731,0.336745831589366,0.149205631497299,0.178116108101289,0.13760693452694,0.143918609209337,0.13791647440899,0.115072972104076,0.161196228539413,0.147416066467587,0.199450047037231,0.145047839892335,0.319922983718647,0.30672657887012,0.287089389489659,0.349039889228204,0.175235418045345,0.176300024758146
"MERDSSG163",0.176478483644577,0.135331664630605,0.141290748255478,0.183495280026828,0.146261575707463,0.163991997150802,0.121897856317499,0.328721960989509,0.328841399067686,0.337067070966279,0.341329847193999,0.136909933425982,0.144653738761001,0.15510907943491,0.0904189251034429,0.157649203457056,0.127851509295452,0.144463697906927,0.0992045936796225,0,0.306234625363326,0.307027676358661,0.325554376586987,0.325131427125469,0.154908084581108,0.19418705761248,0.227034434409811,0.124593599680282,0.301175414819574,0.318055534913022,0.328855912970939,0.130546268196182,0.154670548287634,0.113416662294502,0.131446354227835,0.10319211361583,0.104904160939673,0.168655809349135,0.142374326688824,0.214656782240894,0.146732246227122,0.314103004931266,0.300538258178295,0.278400421735419,0.355083133049013,0.187011411716605,0.192620240404731
"MERDSSG169",0.319854102018779,0.32823214513533,0.275158688839997,0.38183274268071,0.323232985396164,0.367063072617304,0.342819960297215,0.167222855958333,0.179016309535419,0.19819658239293,0.191236971058694,0.363390624308591,0.361814749390814,0.268159867208027,0.327810675132963,0.335445214135493,0.301112250603127,0.239163096559722,0.308005636187619,0.306234625363326,0,0.105689164154323,0.17325223688213,0.191690998608334,0.324295823564759,0.320158123233874,0.316132752899514,0.300527848594467,0.26386257832238,0.246465600359559,0.240902272685594,0.309294509602563,0.368124463359933,0.285754733471411,0.338843540967671,0.328924813117421,0.307960984602766,0.242249106187744,0.32008630719168,0.236348578728767,0.246044796589738,0.199260431593064,0.204883517560209,0.186089760638501,0.282836768044739,0.309517701350147,0.278930687728944
"MERDSSG172",0.323333415445918,0.323307716541084,0.267759386281423,0.389154508134646,0.320218993059312,0.370802993849943,0.340191879319092,0.14664023525397,0.126802709258049,0.156178462147512,0.149076900459928,0.365316773120925,0.368272028288086,0.260962788138063,0.327876886675333,0.331018027862472,0.299884425332121,0.234940524607987,0.31376169876586,0.307027676358661,0.105689164154323,0,0.207850829083489,0.174591600787646,0.322710969577984,0.305738923953299,0.305850305581509,0.293260051789799,0.24536023881894,0.206449587611865,0.20403113151264,0.315440521796232,0.365602363439429,0.286371836839481,0.342432583326001,0.331987169343098,0.307069345634067,0.2310410181296,0.313753349137389,0.212641485855726,0.238405433036929,0.172843061830927,0.165934881319602,0.171939163252248,0.249574115242271,0.293743480502647,0.26885004065354
"MERDSSG175",0.331905406286894,0.340382894495752,0.295834942633303,0.385020887396077,0.353449416254058,0.37198304537789,0.350564049598819,0.247772695427325,0.271054891737975,0.276048455402793,0.243342018265067,0.373376940004765,0.378004645867059,0.315442631393417,0.345848244057781,0.338517616831936,0.318265871307758,0.294908718571012,0.336196168239882,0.325554376586987,0.17325223688213,0.207850829083489,0,0.251433961706726,0.345041865908728,0.360133417230602,0.364958319134289,0.315382898983276,0.271567109180258,0.283464740125428,0.28882679337891,0.321384098390984,0.370682066241261,0.301428022910999,0.346378064251592,0.342815345140807,0.321404803357937,0.312935849284078,0.333233358732145,0.323800254400333,0.308196315775193,0.252334065246266,0.269804720761767,0.238273925695338,0.36744820421544,0.349784518141543,0.327500301306583
