"","Plant_Number","date","Rdate","exp_days","num_germinates","volunteer_dicot","num_removed","raw_label","soil_status","root_association","block","precip","life_stage","trt","pot_w_germ","soil_root","tot_num_germ_harvest","t0_germ","germinated","tot_num_germ"
"3",3,"7_09","7/9/2018",27,0,0,0,"3-LR1cD","L","R",1,"D","S","LR1cD",0,"L.R",0,17,1,1
"12",12,"7_09","7/9/2018",27,0,0,0,"12-LR4cD","L","R",4,"D","S","LR4cD",0,"L.R",0,4,1,1
"24",24,"7_09","7/9/2018",27,0,0,0,"24-LB3cD","L","B",3,"D","S","LB3cD",0,"L.B",0,9,1,1
"34",34,"7_09","7/9/2018",27,0,0,0,"34-SB2aD","S","B",2,"D","S","SB2aD",0,"S.B",0,12,1,1
"35",35,"7_09","7/9/2018",27,0,0,0,"35-SB2bD","S","B",2,"D","S","SB2bD",0,"S.B",0,16,1,1
"46",46,"7_09","7/9/2018",27,0,0,0,"46-LR1aA","L","R",1,"A","S","LR1aA",0,"L.R",0,16,1,1
"48",48,"7_09","7/9/2018",27,0,0,0,"48-LR1cA","L","R",1,"A","S","LR1cA",0,"L.R",0,5,1,1
"60",60,"7_09","7/9/2018",27,0,0,0,"60-LR5cA","L","R",5,"A","S","LR5cA",0,"L.R",0,7,1,1
"71",71,"7_09","7/9/2018",27,0,0,0,"71-LB4bA","L","B",4,"A","S","LB4bA",0,"L.B",0,7,1,1
"74",74,"7_09","7/9/2018",27,0,0,0,"74-LB5bA","L","B",5,"A","S","LB5bA",0,"L.B",0,5,1,1
"76",76,"7_09","7/9/2018",27,0,0,0,"76-SB1aA","S","B",1,"A","S","SB1aA",0,"S.B",0,8,1,1
"87",87,"7_09","7/9/2018",27,0,0,0,"87-SB4cA","S","B",4,"A","S","SB4cA",0,"S.B",0,11,1,1
"1",1,"7_09","7/9/2018",27,0,0,0,"1-LR1aD","L","R",1,"D","S","LR1aD",0,"L.R",0,NA,0,0
"5",5,"7_09","7/9/2018",27,0,0,0,"5-LR2bD","L","R",2,"D","S","LR2bD",0,"L.R",0,NA,0,0
"7",7,"7_09","7/9/2018",27,0,0,0,"7-LR3aD","L","R",3,"D","S","LR3aD",0,"L.R",0,NA,0,0
"8",8,"7_09","7/9/2018",27,0,0,0,"8-LR3bD","L","R",3,"D","S","LR3bD",0,"L.R",0,NA,0,0
"9",9,"7_09","7/9/2018",27,0,0,0,"9-LR3cD","L","R",3,"D","S","LR3cD",0,"L.R",0,NA,0,0
"13",13,"7_09","7/9/2018",27,0,0,0,"13-LR5aD","L","R",5,"D","S","LR5aD",0,"L.R",0,NA,0,0
"15",15,"7_09","7/9/2018",27,0,0,0,"15-LR5cD","L","R",5,"D","S","LR5cD",0,"L.R",0,NA,0,0
"16",16,"7_09","7/9/2018",27,0,0,0,"16-LB1aD","L","B",1,"D","S","LB1aD",0,"L.B",0,NA,0,0
"17",17,"7_09","7/9/2018",27,0,0,0,"17-LB1bD","L","B",1,"D","S","LB1bD",0,"L.B",0,NA,0,0
"19",19,"7_09","7/9/2018",27,0,0,0,"19-LB2aD","L","B",2,"D","S","LB2aD",0,"L.B",0,NA,0,0
"28",28,"7_09","7/9/2018",27,0,0,0,"28-LB5aD","L","B",5,"D","S","LB5aD",0,"L.B",0,NA,0,0
"29",29,"7_09","7/9/2018",27,0,0,0,"29-LB5bD","L","B",5,"D","S","LB5bD",0,"L.B",0,NA,0,0
"31",31,"7_09","7/9/2018",27,0,0,0,"31-SB1aD","S","B",1,"D","S","SB1aD",0,"S.B",0,NA,0,0
"32",32,"7_09","7/9/2018",27,0,0,0,"32-SB1bD","S","B",1,"D","S","SB1bD",0,"S.B",0,NA,0,0
"33",33,"7_09","7/9/2018",27,0,0,0,"33-SB1cD","S","B",1,"D","S","SB1cD",0,"S.B",0,NA,0,0
"36",36,"7_09","7/9/2018",27,0,0,0,"36-SB2cD","S","B",2,"D","S","SB2cD",0,"S.B",0,NA,0,0
"38",38,"7_09","7/9/2018",27,0,0,0,"38-SB3bD","S","B",3,"D","S","SB3bD",0,"S.B",0,NA,0,0
"40",40,"7_09","7/9/2018",27,0,0,0,"40-SB4aD","S","B",4,"D","S","SB4aD",0,"S.B",0,NA,0,0
"41",41,"7_09","7/9/2018",27,0,0,0,"41-SB4bD","S","B",4,"D","S","SB4bD",0,"S.B",0,NA,0,0
"43",43,"7_09","7/9/2018",27,0,0,0,"43-SB5aD","S","B",5,"D","S","SB5aD",0,"S.B",0,NA,0,0
"45",45,"7_09","7/9/2018",27,0,0,0,"45-SB5cD","S","B",5,"D","S","SB5cD",0,"S.B",0,NA,0,0
"61",61,"7_09","7/9/2018",27,0,0,0,"61-LB1aA","L","B",1,"A","S","LB1aA",0,"L.B",0,NA,0,0
"63",63,"7_09","7/9/2018",27,0,0,0,"63-LB1cA","L","B",1,"A","S","LB1cA",0,"L.B",0,NA,0,0
"70",70,"7_09","7/9/2018",27,0,0,0,"70-LB4aA","L","B",4,"A","S","LB4aA",0,"L.B",0,NA,0,0
"78",78,"7_09","7/9/2018",27,0,0,0,"78-SB1cA","S","B",1,"A","S","SB1cA",0,"S.B",0,NA,0,0
"80",80,"7_09","7/9/2018",27,0,0,0,"80-SB2bA","S","B",2,"A","S","SB2bA",0,"S.B",0,NA,0,0
"81",81,"7_09","7/9/2018",27,0,0,0,"81-SB2cA","S","B",2,"A","S","SB2cA",0,"S.B",0,NA,0,0
"82",82,"7_09","7/9/2018",27,0,0,0,"82-SB3aA","S","B",3,"A","S","SB3aA",0,"S.B",0,NA,0,0
"83",83,"7_09","7/9/2018",27,0,0,0,"83-SB3bA","S","B",3,"A","S","SB3bA",0,"S.B",0,NA,0,0
"88",88,"7_09","7/9/2018",27,0,0,0,"88-SB5aA","S","B",5,"A","S","SB5aA",0,"S.B",0,NA,0,0
"90",90,"7_09","7/9/2018",27,0,0,0,"90-SB5cA","S","B",5,"A","S","SB5cA",0,"S.B",0,NA,0,0
"2",2,"7_09","7/9/2018",27,1,0,0,"2-LR1bD","L","R",1,"D","S","LR1bD",1,"L.R",1,4,1,1
"4",4,"7_09","7/9/2018",27,1,0,0,"4-LR2aD","L","R",2,"D","S","LR2aD",1,"L.R",1,6,1,1
"6",6,"7_09","7/9/2018",27,1,0,0,"6-LR2cD","L","R",2,"D","S","LR2cD",1,"L.R",2,4,1,2
"10",10,"7_09","7/9/2018",27,1,0,0,"10-LR4aD","L","R",4,"D","S","LR4aD",1,"L.R",1,5,1,1
"11",11,"7_09","7/9/2018",27,1,0,0,"11-LR4bD","L","R",4,"D","S","LR4bD",1,"L.R",2,4,1,2
"14",14,"7_09","7/9/2018",27,1,0,0,"14-LR5bD","L","R",5,"D","S","LR5bD",1,"L.R",1,5,1,1
"18",18,"7_09","7/9/2018",27,1,0,0,"18-LB1cD","L","B",1,"D","S","LB1cD",1,"L.B",2,4,1,2
"20",20,"7_09","7/9/2018",27,1,0,0,"20-LB2bD","L","B",2,"D","S","LB2bD",1,"L.B",1,5,1,1
"21",21,"7_09","7/9/2018",27,1,0,0,"21-LB2cD","L","B",2,"D","S","LB2cD",1,"L.B",1,6,1,1
"22",22,"7_09","7/9/2018",27,1,0,0,"22-LB3aD","L","B",3,"D","S","LB3aD",1,"L.B",1,4,1,1
"23",23,"7_09","7/9/2018",27,1,0,0,"23-LB3bD","L","B",3,"D","S","LB3bD",1,"L.B",2,5,1,2
"25",25,"7_09","7/9/2018",27,1,0,0,"25-LB4aD","L","B",4,"D","S","LB4aD",1,"L.B",1,4,1,1
"26",26,"7_09","7/9/2018",27,1,0,0,"26-LB4bD","L","B",4,"D","S","LB4bD",1,"L.B",2,4,1,2
"27",27,"7_09","7/9/2018",27,1,0,0,"27-LB4cD","L","B",4,"D","S","LB4cD",1,"L.B",1,6,1,1
"30",30,"7_09","7/9/2018",27,1,0,0,"30-LB5cD","L","B",5,"D","S","LB5cD",1,"L.B",2,5,1,2
"37",37,"7_09","7/9/2018",27,1,0,0,"37-SB3aD","S","B",3,"D","S","SB3aD",1,"S.B",2,5,1,2
"39",39,"7_09","7/9/2018",27,1,0,0,"39-SB3cD","S","B",3,"D","S","SB3cD",1,"S.B",1,4,1,1
"42",42,"7_09","7/9/2018",27,1,0,0,"42-SB4cD","S","B",4,"D","S","SB4cD",1,"S.B",2,6,1,2
"44",44,"7_09","7/9/2018",27,1,0,0,"44-SB5bD","S","B",5,"D","S","SB5bD",1,"S.B",1,4,1,1
"47",47,"7_09","7/9/2018",27,1,0,0,"47-LR1bA","L","R",1,"A","S","LR1bA",1,"L.R",1,6,1,1
"49",49,"7_09","7/9/2018",27,1,0,0,"49-LR2aA","L","R",2,"A","S","LR2aA",1,"L.R",2,4,1,2
"50",50,"7_09","7/9/2018",27,1,0,0,"50-LR2bA","L","R",2,"A","S","LR2bA",1,"L.R",1,6,1,1
"51",51,"7_09","7/9/2018",27,1,0,0,"51-LR2cA","L","R",2,"A","S","LR2cA",1,"L.R",2,6,1,2
"52",52,"7_09","7/9/2018",27,1,0,0,"52-LR3aA","L","R",3,"A","S","LR3aA",1,"L.R",2,5,1,2
"53",53,"7_09","7/9/2018",27,1,0,0,"53-LR3bA","L","R",3,"A","S","LR3bA",1,"L.R",1,12,1,1
"54",54,"7_09","7/9/2018",27,1,0,0,"54-LR3cA","L","R",3,"A","S","LR3cA",1,"L.R",2,5,1,2
"55",55,"7_09","7/9/2018",27,1,0,0,"55-LR4aA","L","R",4,"A","S","LR4aA",1,"L.R",3,4,1,3
"56",56,"7_09","7/9/2018",27,1,0,0,"56-LR4bA","L","R",4,"A","S","LR4bA",1,"L.R",1,6,1,1
"57",57,"7_09","7/9/2018",27,1,0,0,"57-LR4cA","L","R",4,"A","S","LR4cA",1,"L.R",1,4,1,1
"58",58,"7_09","7/9/2018",27,1,0,0,"58-LR5aA","L","R",5,"A","S","LR5aA",1,"L.R",4,4,1,4
"59",59,"7_09","7/9/2018",27,1,0,0,"59-LR5bA","L","R",5,"A","S","LR5bA",1,"L.R",2,4,1,2
"62",62,"7_09","7/9/2018",27,1,0,0,"62-LB1bA","L","B",1,"A","S","LB1bA",1,"L.B",1,6,1,1
"64",64,"7_09","7/9/2018",27,1,0,0,"64-LB2aA","L","B",2,"A","S","LB2aA",1,"L.B",2,6,1,2
"65",65,"7_09","7/9/2018",27,1,0,0,"65-LB2bA","L","B",2,"A","S","LB2bA",1,"L.B",1,5,1,1
"66",66,"7_09","7/9/2018",27,1,0,0,"66-LB2cA","L","B",2,"A","S","LB2cA",1,"L.B",1,18,1,1
"67",67,"7_09","7/9/2018",27,1,0,0,"67-LB3aA","L","B",3,"A","S","LB3aA",1,"L.B",2,5,1,2
"68",68,"7_09","7/9/2018",27,1,0,0,"68-LB3bA","L","B",3,"A","S","LB3bA",1,"L.B",3,4,1,3
"69",69,"7_09","7/9/2018",27,1,0,0,"69-LB3cA","L","B",3,"A","S","LB3cA",1,"L.B",2,4,1,2
"72",72,"7_09","7/9/2018",27,1,0,0,"72-LB4cA","L","B",4,"A","S","LB4cA",1,"L.B",1,4,1,1
"73",73,"7_09","7/9/2018",27,1,0,0,"73-LB5aA","L","B",5,"A","S","LB5aA",1,"L.B",2,6,1,2
"75",75,"7_09","7/9/2018",27,1,0,0,"75-LB5cA","L","B",5,"A","S","LB5cA",1,"L.B",2,5,1,2
"77",77,"7_09","7/9/2018",27,0,0,0,"77-SB1bA","S","B",1,"A","S","SB1bA",0,"S.B",1,8,1,1
"79",79,"7_09","7/9/2018",27,1,0,0,"79-SB2aA","S","B",2,"A","S","SB2aA",1,"S.B",1,16,1,1
"84",84,"7_09","7/9/2018",27,1,0,0,"84-SB3cA","S","B",3,"A","S","SB3cA",1,"S.B",2,10,1,2
"85",85,"7_09","7/9/2018",27,1,0,0,"85-SB4aA","S","B",4,"A","S","SB4aA",1,"S.B",1,4,1,1
"86",86,"7_09","7/9/2018",27,1,0,0,"86-SB4bA","S","B",4,"A","S","SB4bA",1,"S.B",2,10,1,2
"89",89,"7_09","7/9/2018",27,1,0,0,"89-SB5bA","S","B",5,"A","S","SB5bA",1,"S.B",1,19,1,1
